date,net_value
2014-12-17,1.0
2014-12-19,1.0004
2014-12-26,1.0014
2014-12-31,1.0021
2015-01-09,1.0034
2015-01-16,1.0043
2015-01-23,1.0053
2015-01-30,1.0063
2015-02-06,1.0073
2015-02-13,1.0082
2015-02-17,1.0088
2015-02-27,1.0102
2015-03-06,1.0112
2015-03-13,1.0122
2015-03-20,1.0131
2015-03-27,1.0141
2015-04-03,1.0151
2015-04-10,1.0161
2015-04-17,1.017
2015-04-24,1.018
2015-04-30,1.0189
2015-05-08,1.02
2015-05-15,1.021
2015-05-22,1.0219
2015-05-29,1.0229
2015-06-05,1.0239
2015-06-12,1.0249
2015-06-16,1.0254
2015-06-17,1.0256
2015-06-19,1.0259
2015-06-26,1.027
2015-06-30,1.0276
2015-07-03,1.028
2015-07-10,1.0291
2015-07-17,1.0301
2015-07-24,1.0312
2015-07-31,1.0322
2015-08-07,1.0333
2015-08-14,1.0343
2015-08-21,1.0354
2015-08-28,1.0364
2015-09-02,1.0372
2015-09-11,1.0385
2015-09-18,1.0396
2015-09-25,1.0406
2015-09-30,1.0414
2015-10-09,1.0427
2015-10-16,1.0438
2015-10-23,1.0448
2015-10-30,1.0459
2015-11-06,1.0469
2015-11-13,1.048
2015-11-20,1.049
2015-11-26,1.0499
2015-11-27,1.0501
2015-12-04,1.0511
2015-12-11,1.0522
2015-12-17,1.0531
2015-12-18,1.0532
2015-12-25,1.0541
2015-12-31,1.0549
2016-01-08,1.0559
2016-01-15,1.0568
2016-01-22,1.0577
2016-01-29,1.0586
2016-02-05,1.0595
2016-02-19,1.0613
2016-02-26,1.0621
2016-03-04,1.063
2016-03-11,1.0639
2016-03-18,1.0648
2016-03-25,1.0657
2016-04-01,1.0666
2016-04-08,1.0675
2016-04-15,1.0684
2016-04-22,1.0693
2016-04-29,1.0702
2016-05-06,1.0711
2016-05-13,1.072
2016-05-20,1.0728
2016-05-27,1.0737
2016-06-03,1.0746
2016-06-08,1.0753
2016-06-17,1.0764
2016-06-24,1.0773
2016-06-30,1.078
2016-07-01,1.0781
2016-07-08,1.079
2016-07-15,1.0799
2016-07-22,1.0808
2016-07-29,1.0816
2016-08-05,1.0825
2016-08-12,1.0834
2016-08-19,1.0843
2016-08-26,1.0851
2016-09-02,1.086
2016-09-09,1.0869
2016-09-14,1.0875
2016-09-23,1.0886
2016-09-30,1.0895
2016-10-14,1.0912
2016-10-21,1.0921
2016-10-28,1.093
2016-11-04,1.0939
2016-11-11,1.0947
2016-11-18,1.0956
2016-11-25,1.0965
2016-12-02,1.0973
2016-12-09,1.0982
2016-12-16,1.0991
2016-12-19,1.0995
2016-12-20,1.0996
2016-12-21,1.0996
2016-12-22,1.0997
2016-12-23,1.1837
2016-12-26,1.1845
2016-12-27,1.185
2016-12-28,1.1853
2016-12-29,1.1858
2016-12-30,1.1865
2016-12-31,1.1866
2017-01-03,1.1876
2017-01-04,1.1884
2017-01-05,1.1888
2017-01-06,1.1888
2017-01-09,1.1891
2017-01-10,1.1894
2017-01-11,1.1896
2017-01-12,1.1899
2017-01-13,1.1903
2017-01-16,1.1904
2017-01-17,1.1903
2017-01-18,1.1898
2017-01-19,1.1896
2017-01-20,1.1897
2017-01-23,1.1903
2017-01-24,1.1904
2017-01-25,1.1905
2017-01-26,1.1906
2017-02-03,1.1909
2017-02-06,1.1905
2017-02-07,1.1901
2017-02-08,1.1899
2017-02-09,1.1899
2017-02-10,1.19
2017-02-13,1.1996
2017-02-14,1.1997
2017-02-15,1.1997
2017-02-16,1.1999
2017-02-17,1.2
2017-02-20,1.2002
2017-02-21,1.2002
2017-02-22,1.2002
2017-02-23,1.2005
2017-02-24,1.2006
2017-02-27,1.2009
2017-02-28,1.2009
2017-03-01,1.2011
2017-03-02,1.2012
2017-03-03,1.2014
2017-03-06,1.2016
2017-03-07,1.2016
2017-03-08,1.2016
2017-03-09,1.2015
2017-03-10,1.2015
2017-03-13,1.2019
2017-03-14,1.202
2017-03-15,1.202
2017-03-16,1.2021
2017-03-17,1.2021
2017-03-20,1.2025
2017-03-21,1.2021
2017-03-22,1.2022
2017-03-23,1.2024
2017-03-24,1.2028
2017-03-27,1.2033
2017-03-28,1.2038
2017-03-29,1.2037
2017-03-30,1.2036
2017-03-31,1.2034
2017-04-05,1.2044
2017-04-06,1.2049
2017-04-07,1.2052
2017-04-10,1.2059
2017-04-11,1.2062
2017-04-12,1.2063
2017-04-13,1.2065
2017-04-14,1.2064
2017-04-17,1.2066
2017-04-18,1.2066
2017-04-19,1.2065
2017-04-20,1.2065
2017-04-21,1.2065
2017-04-24,1.2061
2017-04-25,1.2061
2017-04-26,1.2066
2017-04-27,1.207
2017-04-28,1.2072
2017-05-02,1.2077
2017-05-03,1.2075
2017-05-04,1.2075
2017-05-05,1.2076
2017-05-08,1.2068
2017-05-09,1.2064
2017-05-10,1.2058
2017-05-11,1.2061
2017-05-12,1.2058
2017-05-15,1.2058
2017-05-16,1.2057
2017-05-17,1.2059
2017-05-18,1.2062
2017-05-19,1.2059
2017-05-22,1.2064
2017-05-23,1.2064
2017-05-24,1.2062
2017-05-25,1.2063
2017-05-26,1.2058
2017-05-31,1.2065
2017-06-01,1.2064
2017-06-02,1.2068
2017-06-05,1.207
2017-06-06,1.2071
2017-06-07,1.2071
2017-06-08,1.207
2017-06-09,1.2071
2017-06-12,1.2078
2017-06-13,1.2083
2017-06-14,1.2088
