净值日期,累计净值
2016-11-18,1.0
2016-11-21,1.0
2016-11-22,1.0
2016-11-23,1.0
2016-11-24,1.0
2016-11-25,1.0004
2016-11-28,1.0004
2016-11-29,1.0004
2016-11-30,1.0004
2016-12-01,1.0004
2016-12-02,1.001
2016-12-05,1.001
2016-12-06,1.001
2016-12-07,1.001
2016-12-08,1.001
2016-12-09,1.0015
2016-12-12,1.0015
2016-12-13,1.0015
2016-12-14,1.0015
2016-12-15,1.0015
2016-12-16,0.9999
2016-12-19,0.9999
2016-12-20,0.9999
2016-12-21,0.9999
2016-12-22,0.9999
2016-12-23,1.0019
2016-12-26,1.0019
2016-12-27,1.0019
2016-12-28,1.0019
2016-12-29,1.0019
2016-12-30,1.0033
2016-12-31,1.0034
2017-01-03,1.0033
2017-01-04,1.0033
2017-01-05,1.0033
2017-01-06,1.004
2017-01-09,1.004
2017-01-10,1.004
2017-01-11,1.0047
2017-01-12,1.005
2017-01-13,1.0052
2017-01-16,1.0051
2017-01-17,1.0049
2017-01-18,1.0047
2017-01-19,1.0047
2017-01-20,1.0053
2017-01-23,1.0057
2017-01-24,1.0054
2017-01-25,1.0052
2017-01-26,1.0055
2017-02-03,1.0053
2017-02-06,1.0048
2017-02-07,1.0046
2017-02-08,1.0049
2017-02-09,1.0052
2017-02-10,1.0051
2017-02-13,1.0054
2017-02-14,1.0055
2017-02-15,1.0055
2017-02-16,1.0059
2017-02-17,1.0064
2017-02-20,1.0071
2017-02-21,1.0069
2017-02-22,1.0073
2017-02-23,1.0073
2017-02-24,1.0074
2017-02-27,1.0077
2017-02-28,1.0077
2017-03-01,1.0071
2017-03-02,1.0067
2017-03-03,1.0068
2017-03-06,1.0067
2017-03-07,1.0067
2017-03-08,1.006
2017-03-09,1.0057
2017-03-10,1.0057
2017-03-13,1.0061
2017-03-14,1.0066
2017-03-15,1.0072
2017-03-16,1.0085
2017-03-17,1.0082
2017-03-20,1.0083
2017-03-21,1.008
2017-03-22,1.0081
2017-03-23,1.0082
2017-03-24,1.0091
2017-03-27,1.0097
2017-03-28,1.0099
2017-03-29,1.0098
2017-03-30,1.0098
2017-03-31,1.01
2017-04-05,1.0106
2017-04-06,1.0106
2017-04-07,1.0109
2017-04-10,1.0111
2017-04-11,1.011
