date,close,全收益收盘点位(元),市值(元),流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2005/4/8,1003.445,,2.54999E+12,6.26019E+11,15.5106,,15.5106,15.5106,15.5106
2005/4/11,995.421,,2.53089E+12,6.21011E+11,15.4108,0,15.5106,15.4607,15.4108
2005/4/12,978.697,,2.48818E+12,6.10191E+11,15.0216,0,15.5106,15.4108,15.0216
2005/4/13,1000.9,,2.54442E+12,6.24194E+11,15.4821,0.6667,15.4821,15.4464,15.4108
2005/4/14,986.975,,2.51807E+12,6.15565E+11,15.3048,0.25,15.4821,15.4108,15.3048
2005/4/15,974.082,,2.48567E+12,6.07351E+11,15.1027,0.2,15.4821,15.3578,15.1027
2005/4/18,963.772,,2.4454E+12,5.99269E+11,15.26,0.3333,15.4821,15.3048,15.1027
2005/4/19,965.886,,2.45372E+12,6.02264E+11,15.3013,0.4286,15.4821,15.3031,15.1027
2005/4/20,950.867,,2.42536E+12,5.92823E+11,15.0978,0.125,15.4108,15.3013,15.1027
2005/4/21,943.981,,2.40988E+12,5.88623E+11,15.0081,0,15.4108,15.2807,15.0978
2005/4/22,939.101,,2.40627E+12,5.85214E+11,15.0422,0.2,15.4108,15.26,15.0422
2005/4/25,930.07,,2.37997E+12,5.79477E+11,14.8375,0,15.4108,15.1813,15.0216
2005/4/26,937.083,,2.38784E+12,5.83965E+11,15.0033,0.0833,15.4108,15.1027,15.0081
2005/4/27,926.604,,2.35843E+12,5.76936E+11,14.8281,0,15.3048,15.1002,15.0081
2005/4/28,942.073,,2.40499E+12,5.86682E+11,15.2315,0.5714,15.3048,15.1027,15.0081
2005/4/29,932.395,,2.38354E+12,5.80605E+11,14.9876,0.1333,15.3048,15.1002,15.0033
2005/5/9,909.174,,2.35448E+12,5.74389E+11,14.6952,0,15.3048,15.0978,14.9876
2005/5/10,913.076,,2.37134E+12,5.77041E+11,14.8004,0.0588,15.3048,15.07,14.8375
2005/5/11,901.851,,2.3388E+12,5.6882E+11,14.5984,0,15.3013,15.0422,14.8375
2005/5/12,885.82,,2.28796E+12,5.59162E+11,14.2811,0,15.3013,15.0319,14.8281
2005/5/13,887.543,,2.29125E+12,5.60656E+11,14.3016,0.05,15.3013,15.0216,14.8004
2005/5/16,875.271,,2.2603E+12,5.5243E+11,14.1084,0,15.3013,15.0148,14.6952
2005/5/17,881.462,,2.26211E+12,5.56881E+11,14.1197,0.0455,15.3013,15.0081,14.5984
2005/5/18,883.196,,2.26343E+12,5.60962E+11,14.128,0.087,15.26,15.0057,14.5984
2005/5/19,884.171,,2.26332E+12,5.61234E+11,14.1273,0.0833,15.26,15.0033,14.3016
2005/5/20,882.763,,2.25602E+12,5.60075E+11,14.0817,0,15.26,14.9955,14.2811
2005/5/23,863.341,,2.20022E+12,5.46788E+11,13.7335,0,15.26,14.9876,14.128
2005/5/24,868.456,,2.1964E+12,5.4959E+11,13.7096,0,15.26,14.9126,14.1273
2005/5/25,868.451,,2.1918E+12,5.49485E+11,13.6809,0,15.2315,14.8375,14.1273
2005/5/26,857.331,,2.16409E+12,5.4229E+11,13.5079,0,15.2315,14.8328,14.1197
2005/5/27,849.508,,2.1492E+12,5.37216E+11,13.415,0,15.2315,14.8281,14.1084
2005/5/30,855.612,,2.1653E+12,5.41046E+11,13.5155,0.0645,15.2315,14.8142,14.0817
2005/5/31,855.946,,2.16731E+12,5.41196E+11,13.528,0.0938,15.2315,14.8004,13.7335
2005/6/1,837.532,,2.12005E+12,5.29468E+11,13.233,0,15.1027,14.7478,13.7335
2005/6/2,818.379,,2.07199E+12,5.17619E+11,12.9331,0,15.1027,14.6952,13.7096
2005/6/3,818.033,,2.06507E+12,5.17033E+11,12.8898,0,15.1027,14.6468,13.6809
2005/6/6,838.997,,2.11245E+12,5.29747E+11,13.1856,0.0556,15.1027,14.5984,13.528
2005/6/7,837.282,,2.10102E+12,5.28748E+11,13.1143,0.0541,15.1027,14.45,13.5155
2005/6/8,905.773,,2.2749E+12,5.70985E+11,14.1996,0.4474,15.0978,14.3016,13.528
2005/6/9,912.604,,2.30828E+12,5.76389E+11,14.4079,0.5128,15.0978,14.3548,13.528
2005/6/10,894.556,,2.25576E+12,5.64597E+11,14.0801,0.3,15.0978,14.3016,13.528
2005/6/13,892.959,,2.25135E+12,5.62824E+11,14.0526,0.2927,15.0978,14.2914,13.528
2005/6/14,883.537,,2.23009E+12,5.56213E+11,13.9199,0.2857,15.0978,14.2811,13.528
2005/6/15,866.834,,2.18866E+12,5.45095E+11,13.6613,0.2093,15.0422,14.2404,13.6613
2005/6/16,879.237,,2.21531E+12,5.52424E+11,13.8276,0.2955,15.0422,14.1996,13.6613
2005/6/17,880.345,,2.20601E+12,5.50873E+11,13.7696,0.2889,15.0422,14.1638,13.6613
2005/6/20,906.255,,2.25546E+12,5.63518E+11,14.0782,0.3696,15.0422,14.128,13.6613
2005/6/21,896.166,,2.24272E+12,5.62452E+11,13.9987,0.3404,15.0422,14.1277,13.6613
2005/6/22,900.646,,2.23908E+12,5.64245E+11,13.976,0.3333,15.0216,14.1273,13.6809
2005/6/23,893.572,,2.22879E+12,5.6014E+11,13.9118,0.3061,15.0216,14.1235,13.6809
2005/6/24,898.301,,2.247E+12,5.62921E+11,14.0254,0.38,15.0216,14.1197,13.6809
2005/6/27,916.043,,2.29008E+12,5.74295E+11,14.2943,0.5882,15.0216,14.1235,13.6809
2005/6/28,903.716,,2.25626E+12,5.66103E+11,14.0832,0.4615,15.0216,14.1197,13.6809
2005/6/29,898.898,,2.24535E+12,5.62579E+11,14.0151,0.3585,15.0081,14.1141,13.7096
2005/6/30,878.686,,2.19302E+12,5.49604E+11,13.6971,0.2037,15.0081,14.1084,13.6971
2005/7/1,859.494,,2.17663E+12,5.42677E+11,13.2041,0.0727,15.0081,14.0958,13.6809
2005/7/4,855.932,,2.16867E+12,5.40373E+11,13.1558,0.0536,15.0081,14.0832,13.6613
2005/7/5,849.679,,2.1459E+12,5.35427E+11,13.0177,0.0351,15.0081,14.0825,13.528
2005/7/6,842.556,,2.13499E+12,5.32011E+11,12.9515,0.0345,15.0033,14.0817,13.528
2005/7/7,844.729,,2.14458E+12,5.32689E+11,13.0097,0.0508,15.0033,14.0809,13.5155
2005/7/8,829.489,,2.11071E+12,5.23422E+11,12.8042,0,15.0033,14.0801,13.5079
2005/7/11,824.097,,2.10001E+12,5.21226E+11,12.7393,0,15.0033,14.0792,13.415
2005/7/12,851.816,,2.17001E+12,5.38748E+11,13.1561,0.1452,15.0033,14.0782,13.233
2005/7/13,846.231,,2.15342E+12,5.35041E+11,13.0556,0.1111,14.9876,14.0654,13.233
2005/7/14,849.59,,2.16141E+12,5.36755E+11,13.104,0.125,14.9876,14.0526,13.2041
2005/7/15,841.001,,2.14106E+12,5.30791E+11,12.9806,0.0769,14.9876,14.039,13.1856
2005/7/18,832.995,,2.12252E+12,5.25455E+11,12.8682,0.0303,14.9876,14.0254,13.1561
2005/7/19,835.608,,2.12357E+12,5.26984E+11,12.8699,0.0448,14.9876,14.0203,13.1558
2005/7/20,842.641,,2.14008E+12,5.3128E+11,12.9702,0.1029,14.8375,14.0151,13.1558
2005/7/21,843.987,,2.14282E+12,5.31931E+11,12.9868,0.1304,14.8375,14.0069,13.1143
2005/7/22,859.693,,2.19604E+12,5.42088E+11,13.3093,0.2857,14.8375,13.9987,13.1143
2005/7/25,856.86,,2.19258E+12,5.4021E+11,13.2943,0.2817,14.8375,13.9874,13.1143
2005/7/26,876.48,,2.25126E+12,5.52489E+11,13.642,0.3611,14.8375,13.976,13.1143
