日期,收盘点位,市值(美元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点,PE-TTM 50%分位点,PE-TTM 20%分位点
2023/12/14,4719.55,4.18151E+13,24.7061,0.7061,28.609,21.4256,17.4733
2023/12/13,4707.09,4.16497E+13,24.6053,0.704,28.609,21.4228,17.4733
2023/12/12,4643.7,4.10919E+13,24.2758,0.6945,28.609,21.4218,17.4733
2023/12/11,4622.44,4.09198E+13,24.1878,0.6906,28.6117,21.4208,17.4729
2023/12/8,4604.37,4.07693E+13,24.0988,0.6856,28.6117,21.4199,17.4729
2023/12/7,4585.59,4.06066E+13,24.0065,0.6809,28.6117,21.419,17.4729
2023/12/6,4549.34,4.02804E+13,23.81,0.6631,28.6117,21.4172,17.4729
2023/12/5,4568.25,4.04403E+13,23.9042,0.6725,28.6117,21.4154,17.4729
2023/12/4,4569.78,4.04593E+13,23.9113,0.6736,28.6118,21.4145,17.4729
2023/12/1,4594.63,4.06788E+13,24.0416,0.6823,28.6118,21.4136,17.4729
2023/11/30,4567.8,4.04438E+13,23.9029,0.6727,28.6118,21.4128,17.4729
2023/11/29,4550.58,4.03023E+13,23.8645,0.6689,28.6118,21.412,17.4729
2023/11/28,4554.89,4.03487E+13,23.9159,0.6742,28.6118,21.4069,17.4729
2023/11/27,4550.43,4.03043E+13,23.8923,0.6718,28.6173,21.4019,17.4724
2023/11/24,4559.34,4.03851E+13,23.9402,0.6764,28.6173,21.4017,17.4724
2023/11/22,4556.62,4.03616E+13,23.9262,0.6752,28.6173,21.4016,17.4724
2023/11/21,4538.19,4.01974E+13,23.8326,0.6667,28.6173,21.4002,17.4724
2023/11/20,4547.38,4.02793E+13,24.0027,0.6803,28.6173,21.3989,17.4724
2023/11/17,4514.02,3.99856E+13,23.8268,0.6664,28.6299,21.3964,17.472
2023/11/16,4508.24,3.99337E+13,23.7973,0.6635,28.6299,21.3939,17.472
2023/11/15,4502.88,3.99051E+13,23.7818,0.6613,28.6299,21.3905,17.472
2023/11/14,4495.7,3.99562E+13,23.8228,0.6657,28.6299,21.3871,17.472
2023/11/13,4411.55,3.92132E+13,23.3813,0.6232,28.6299,21.3864,17.472
2023/11/10,4415.24,3.92394E+13,23.4249,0.6275,28.6401,21.3858,17.4688
2023/11/9,4347.35,3.86418E+13,23.0681,0.5931,28.6401,21.3855,17.4688
2023/11/8,4382.78,3.89613E+13,23.2703,0.6112,28.6401,21.3852,17.4688
2023/11/7,4378.38,3.89238E+13,23.1243,0.5956,28.6401,21.3808,17.4688
2023/11/6,4365.98,3.88057E+13,23.0108,0.5887,28.6401,21.3764,17.4688
2023/11/3,4358.34,3.8739E+13,22.8271,0.5765,28.6529,21.3758,17.4643
2023/11/2,4317.78,3.84014E+13,22.5655,0.562,28.6529,21.3751,17.4643
2023/11/1,4237.86,3.7703E+13,22.1173,0.543,28.6529,21.3734,17.4643
2023/10/31,4193.8,3.73047E+13,22.0414,0.5374,28.6529,21.3717,17.4643
2023/10/30,4166.82,3.70693E+13,21.8242,0.5229,28.6529,21.3675,17.4643
2023/10/27,4117.37,3.66282E+13,21.5229,0.5075,28.6612,21.3634,17.4621
2023/10/26,4137.23,3.68274E+13,22.0154,0.5353,28.6612,21.3617,17.4621
2023/10/25,4186.77,3.72882E+13,22.5538,0.5603,28.6612,21.36,17.4621
2023/10/24,4247.68,3.78602E+13,23.0224,0.5891,28.6612,21.3596,17.4621
2023/10/23,4217.04,3.75862E+13,22.8052,0.5743,28.6612,21.3592,17.4621
2023/10/20,4224.16,3.76412E+13,22.8071,0.5744,28.6627,21.3584,17.4617
2023/10/19,4278,3.81325E+13,23.1229,0.5947,28.6627,21.3577,17.4617
2023/10/18,4314.6,3.84635E+13,23.3087,0.6147,28.6627,21.3567,17.4617
2023/10/17,4373.2,3.89778E+13,23.6245,0.6464,28.6627,21.3558,17.4617
2023/10/16,4373.63,3.89793E+13,23.6242,0.6462,28.6627,21.3512,17.4617
2023/10/13,4327.78,3.85658E+13,23.3736,0.6217,28.6663,21.3466,17.4595
2023/10/12,4349.61,3.86419E+13,23.501,0.6347,28.6663,21.3435,17.4595
2023/10/11,4376.95,3.88846E+13,23.6537,0.6495,28.6663,21.3404,17.4595
2023/10/10,4358.24,3.87178E+13,23.5581,0.6397,28.6663,21.3394,17.4595
2023/10/9,4335.66,3.85156E+13,23.435,0.6286,28.6663,21.3383,17.4595
2023/10/6,4308.5,3.82784E+13,23.2907,0.6137,28.6682,21.338,17.4583
2023/10/5,4258.19,3.78361E+13,22.9805,0.5867,28.6682,21.3376,17.4583
2023/10/4,4263.75,3.78849E+13,23.042,0.5918,28.6682,21.3368,17.4583
2023/10/3,4229.45,3.75708E+13,22.8509,0.5785,28.6682,21.3359,17.4583
2023/10/2,4288.39,3.80921E+13,23.1672,0.6005,28.6682,21.3344,17.4583
2023/9/29,4288.05,3.80519E+13,23.1874,0.6025,28.6717,21.3329,17.4559
2023/9/28,4299.7,3.81579E+13,23.2758,0.6116,28.6717,21.3325,17.4559
2023/9/27,4274.51,3.79343E+13,23.1412,0.5968,28.6717,21.332,17.4559
2023/9/26,4273.53,3.79295E+13,23.142,0.5971,28.6717,21.3283,17.4559
2023/9/25,4337.44,3.84942E+13,23.4837,0.6327,28.6717,21.3245,17.4559
2023/9/22,4320.06,3.83421E+13,23.3909,0.6234,28.6814,21.322,17.4559
2023/9/21,4330,3.84359E+13,23.4481,0.6294,28.6814,21.3196,17.4559
2023/9/20,4402.2,3.90846E+13,23.8449,0.6657,28.6814,21.3183,17.4559
2023/9/19,4443.95,3.94559E+13,24.0723,0.6813,28.6814,21.3171,17.4559
2023/9/18,4453.53,3.95381E+13,24.1224,0.6846,28.6814,21.3162,17.4559
2023/9/15,4450.32,3.95133E+13,24.1073,0.6832,28.7514,21.3154,17.4551
2023/9/14,4505.1,3.99933E+13,24.391,0.6947,28.7514,21.3143,17.4551
2023/9/13,4467.44,3.9663E+13,24.1896,0.6881,28.7514,21.3133,17.4551
2023/9/12,4461.9,3.96042E+13,24.1537,0.6864,28.7514,21.3124,17.4551
2023/9/11,4487.46,3.98481E+13,24.3154,0.6918,28.7514,21.3115,17.4551
2023/9/8,4457.49,3.9566E+13,24.1335,0.6856,28.7634,21.3112,17.455
2023/9/7,4451.14,3.95058E+13,24.0968,0.6833,28.7634,21.311,17.455
2023/9/6,4465.48,3.96237E+13,24.1856,0.6877,28.7634,21.3091,17.455
2023/9/5,4496.83,3.99016E+13,24.3606,0.6933,28.7634,21.3072,17.455
2023/9/1,4515.77,4.00635E+13,24.4641,0.6968,28.7634,21.3039,17.455
2023/8/31,4507.66,3.99973E+13,24.4702,0.6969,28.7647,21.3006,17.4543
2023/8/30,4514.87,4.0059E+13,24.5329,0.6984,28.7647,21.2992,17.4543
2023/8/29,4497.63,3.99104E+13,24.436,0.6963,28.7647,21.2979,17.4543
2023/8/28,4433.31,3.9334E+13,24.0838,0.6833,28.7647,21.295,17.4543
2023/8/25,4405.71,3.90884E+13,24.0147,0.6809,28.7647,21.2921,17.4543
2023/8/24,4376.31,3.88197E+13,23.8686,0.6697,28.7784,21.2903,17.4542
2023/8/23,4436.01,3.93559E+13,24.204,0.6894,28.7784,21.2885,17.4542
2023/8/22,4387.55,3.89274E+13,23.9403,0.6764,28.7784,21.2837,17.4542
2023/8/21,4399.77,3.90341E+13,23.9507,0.6773,28.7784,21.2788,17.4542
